day,tod,type,Season,rep,sma
1,Start,Inoculated A,Summer A,1,2.31
1,Start,Inoculated A,Summer A,2,2.31
1,Start,Inoculated A,Summer A,3,2.31
1,Start,Inoculated A,Summer A,4,2.31
1,Start,Inoculated B,Summer B,1,2.31
1,Start,Inoculated B,Summer B,2,2.31
1,Start,Inoculated B,Summer B,3,2.31
1,Start,Inoculated B,Summer B,4,2.59
1,Start,Not Inoculated,Summer,1,2.31
1,Start,Not Inoculated,Summer,2,2.31
1,Start,Not Inoculated,Summer,3,2.31
1,Start,Not Inoculated,Summer,4,2.31
1,End,Inoculated A,Summer A,1,2.31
1,End,Inoculated A,Summer A,2,2.31
1,End,Inoculated A,Summer A,3,2.31
1,End,Inoculated A,Summer A,4,2.31
1,End,Inoculated B,Summer B,1,2.31
1,End,Inoculated B,Summer B,2,2.31
1,End,Inoculated B,Summer B,3,2.31
1,End,Inoculated B,Summer B,4,2.39
1,End,Not Inoculated,Summer,1,2.31
1,End,Not Inoculated,Summer,2,2.31
1,End,Not Inoculated,Summer,3,2.31
1,End,Not Inoculated,Summer,4,2.31
2,Start,Inoculated A,Summer A,1,3.01
2,Start,Inoculated A,Summer A,2,3.04
2,Start,Inoculated A,Summer A,3,2.8
2,Start,Inoculated A,Summer A,4,2.64
2,Start,Inoculated B,Summer B,1,2.89
2,Start,Inoculated B,Summer B,2,2.95
2,Start,Inoculated B,Summer B,3,2.99
2,Start,Inoculated B,Summer B,4,3.08
2,Start,Not Inoculated,Summer,1,2.31
2,Start,Not Inoculated,Summer,2,2.58
2,Start,Not Inoculated,Summer,3,2.31
2,Start,Not Inoculated,Summer,4,2.31
2,End,Inoculated A,Summer A,1,3.17
2,End,Inoculated A,Summer A,2,2.98
2,End,Inoculated A,Summer A,3,3
2,End,Inoculated A,Summer A,4,2.99
2,End,Inoculated B,Summer B,1,3.09
2,End,Inoculated B,Summer B,2,3.12
2,End,Inoculated B,Summer B,3,3.14
2,End,Inoculated B,Summer B,4,3.51
2,End,Not Inoculated,Summer,1,2.31
2,End,Not Inoculated,Summer,2,2.5
2,End,Not Inoculated,Summer,3,2.59
2,End,Not Inoculated,Summer,4,2.33
3,Start,Inoculated A,Summer A,1,4.31
3,Start,Inoculated A,Summer A,2,4
3,Start,Inoculated A,Summer A,3,3.96
3,Start,Inoculated A,Summer A,4,4.02
3,Start,Inoculated B,Summer B,1,4.23
3,Start,Inoculated B,Summer B,2,3.83
3,Start,Inoculated B,Summer B,3,4.31
3,Start,Inoculated B,Summer B,4,4.43
3,Start,Not Inoculated,Summer,1,3
3,Start,Not Inoculated,Summer,2,2.98
3,Start,Not Inoculated,Summer,3,3.02
3,Start,Not Inoculated,Summer,4,2.85
3,End,Inoculated A,Summer A,1,4.49
3,End,Inoculated A,Summer A,2,4.49
3,End,Inoculated A,Summer A,3,4.28
3,End,Inoculated A,Summer A,4,4.07
3,End,Inoculated B,Summer B,1,4.22
3,End,Inoculated B,Summer B,2,4.16
3,End,Inoculated B,Summer B,3,4.56
3,End,Inoculated B,Summer B,4,4.54
3,End,Not Inoculated,Summer,1,3.12
3,End,Not Inoculated,Summer,2,3.11
3,End,Not Inoculated,Summer,3,3.01
3,End,Not Inoculated,Summer,4,3.19
4,Start,Inoculated A,Summer A,1,5.69
4,Start,Inoculated A,Summer A,2,5.57
4,Start,Inoculated A,Summer A,3,5.75
4,Start,Inoculated A,Summer A,4,5.7
4,Start,Inoculated B,Summer B,1,5.85
4,Start,Inoculated B,Summer B,2,5.55
4,Start,Inoculated B,Summer B,3,5.78
4,Start,Inoculated B,Summer B,4,5.7
4,Start,Not Inoculated,Summer,1,3.7
4,Start,Not Inoculated,Summer,2,3.81
4,Start,Not Inoculated,Summer,3,3.81
4,Start,Not Inoculated,Summer,4,3.77
4,End,Inoculated A,Summer A,1,5.84
4,End,Inoculated A,Summer A,2,5.88
4,End,Inoculated A,Summer A,3,5.8
4,End,Inoculated A,Summer A,4,5.91
4,End,Inoculated B,Summer B,1,5.91
4,End,Inoculated B,Summer B,2,5.7
4,End,Inoculated B,Summer B,3,5.68
4,End,Inoculated B,Summer B,4,5.82
4,End,Not Inoculated,Summer,1,3.91
4,End,Not Inoculated,Summer,2,4
4,End,Not Inoculated,Summer,3,3.91
4,End,Not Inoculated,Summer,4,3.93
5,Start,Inoculated A,Summer A,1,6.79
5,Start,Inoculated A,Summer A,2,6.61
5,Start,Inoculated A,Summer A,3,6.56
5,Start,Inoculated A,Summer A,4,6.6
5,Start,Inoculated B,Summer B,1,6.57
5,Start,Inoculated B,Summer B,2,6.27
5,Start,Inoculated B,Summer B,3,6.59
5,Start,Inoculated B,Summer B,4,6.23
5,Start,Not Inoculated,Summer,1,4.37
5,Start,Not Inoculated,Summer,2,4.57
5,Start,Not Inoculated,Summer,3,4.58
5,Start,Not Inoculated,Summer,4,4.42
5,End,Inoculated A,Summer A,1,6.82
5,End,Inoculated A,Summer A,2,6.62
5,End,Inoculated A,Summer A,3,6.89
5,End,Inoculated A,Summer A,4,6.75
5,End,Inoculated B,Summer B,1,6.75
5,End,Inoculated B,Summer B,2,6.66
5,End,Inoculated B,Summer B,3,6.73
5,End,Inoculated B,Summer B,4,6.69
5,End,Not Inoculated,Summer,1,4.77
5,End,Not Inoculated,Summer,2,4.88
5,End,Not Inoculated,Summer,3,5
5,End,Not Inoculated,Summer,4,4.68
1,Start,Refrigerated Control A,Summer A,Refrigerated Control,2.31
2,Start,Refrigerated Control A,Summer A,Refrigerated Control,2.47
3,Start,Refrigerated Control A,Summer A,Refrigerated Control,3.31
4,Start,Refrigerated Control A,Summer A,Refrigerated Control,4.47
5,Start,Refrigerated Control A,Summer A,Refrigerated Control,5.31
1,Start,Refrigerated Control B,Summer B,Refrigerated Control,2.31
2,Start,Refrigerated Control B,Summer B,Refrigerated Control,2.7
3,Start,Refrigerated Control B,Summer B,Refrigerated Control,3.64
4,Start,Refrigerated Control B,Summer B,Refrigerated Control,4.48
5,Start,Refrigerated Control B,Summer B,Refrigerated Control,5.31
1,Start,Refrigerated Control Not Inoculated,Summer,Refrigerated Control,2.31
2,Start,Refrigerated Control Not Inoculated,Summer,Refrigerated Control,2.31
3,Start,Refrigerated Control Not Inoculated,Summer,Refrigerated Control,2.31
4,Start,Refrigerated Control Not Inoculated,Summer,Refrigerated Control,2.69
5,Start,Refrigerated Control Not Inoculated,Summer,Refrigerated Control,3.08
1,Start,Inoculated,Winter,1,2.41
1,Start,Inoculated,Winter,2,2.39
1,Start,Inoculated,Winter,3,2.31
1,Start,Not Inoculated,Winter,1,2.31
1,Start,Not Inoculated,Winter,2,2.31
1,Start,Not Inoculated,Winter,3,2.31
1,End,Inoculated,Winter,1,2.56
1,End,Inoculated,Winter,2,2.5
1,End,Inoculated,Winter,3,2.44
1,End,Not Inoculated,Winter,1,2.31
1,End,Not Inoculated,Winter,2,2.31
1,End,Not Inoculated,Winter,3,2.31
2,Start,Inoculated,Winter,1,3.73
2,Start,Inoculated,Winter,2,3.82
2,Start,Inoculated,Winter,3,3.58
2,Start,Not Inoculated,Winter,1,2.31
2,Start,Not Inoculated,Winter,2,2.31
2,Start,Not Inoculated,Winter,3,2.31
2,End,Inoculated,Winter,1,3.91
2,End,Inoculated,Winter,2,3.76
2,End,Inoculated,Winter,3,3.88
2,End,Not Inoculated,Winter,1,2.31
2,End,Not Inoculated,Winter,2,2.31
2,End,Not Inoculated,Winter,3,2.31
3,Start,Inoculated,Winter,1,4.93
3,Start,Inoculated,Winter,2,5
3,Start,Inoculated,Winter,3,4.94
3,Start,Not Inoculated,Winter,1,2.31
3,Start,Not Inoculated,Winter,2,2.31
3,Start,Not Inoculated,Winter,3,2.31
3,End,Inoculated,Winter,1,5.15
3,End,Inoculated,Winter,2,5.01
3,End,Inoculated,Winter,3,5.17
3,End,Not Inoculated,Winter,1,2.31
3,End,Not Inoculated,Winter,2,2.31
3,End,Not Inoculated,Winter,3,2.31
4,Start,Inoculated,Winter,1,6.32
4,Start,Inoculated,Winter,2,6.27
4,Start,Inoculated,Winter,3,6.27
4,Start,Not Inoculated,Winter,1,2.31
4,Start,Not Inoculated,Winter,2,2.31
4,Start,Not Inoculated,Winter,3,2.31
4,End,Inoculated,Winter,1,6.61
4,End,Inoculated,Winter,2,6.57
4,End,Inoculated,Winter,3,6.5
4,End,Not Inoculated,Winter,1,2.31
4,End,Not Inoculated,Winter,2,2.31
4,End,Not Inoculated,Winter,3,2.31
5,Start,Inoculated,Winter,1,7.29
5,Start,Inoculated,Winter,2,7.23
5,Start,Inoculated,Winter,3,7.28
5,Start,Not Inoculated,Winter,1,2.31
5,Start,Not Inoculated,Winter,2,2.31
5,Start,Not Inoculated,Winter,3,2.31
5,End,Inoculated,Winter,1,7.29
5,End,Inoculated,Winter,2,7.34
5,End,Inoculated,Winter,3,7.37
5,End,Not Inoculated,Winter,1,2.31
5,End,Not Inoculated,Winter,2,2.31
5,End,Not Inoculated,Winter,3,2.31
1,Start,Refrigerated Control Inoculated,Winter,Refrigerated Control,2.51
1,Start,Refrigerated Control Not Inoculated,Winter,Refrigerated Control,2.31
2,Start,Refrigerated Control Inoculated,Winter,Refrigerated Control,3.13
2,Start,Refrigerated Control Not Inoculated,Winter,Refrigerated Control,2.31
3,Start,Refrigerated Control Inoculated,Winter,Refrigerated Control,4.28
3,Start,Refrigerated Control Not Inoculated,Winter,Refrigerated Control,2.31
4,Start,Refrigerated Control Inoculated,Winter,Refrigerated Control,5.32
4,Start,Refrigerated Control Not Inoculated,Winter,Refrigerated Control,2.31
5,Start,Refrigerated Control Inoculated,Winter,Refrigerated Control,6.48
5,Start,Refrigerated Control Not Inoculated,Winter,Refrigerated Control,2.31
